population,evaluations,1/x,id,MonitorCentral,MonitorPeer,MonitorCloud,AnalyzeCentral,AnalyzePeer,AnalyzeCloud,NormalPlanCentral,NormalPlanPeer,NormalPlanCloud,AlertPlanCentral,AlertPlanPeer,AlertPlanCloud,CriticalPlanCentral,CriticalPlanPeer,CriticalPlanCloud,NormalExecuteCentral,NormalExecutePeer,NormalExecuteCloud,AlertExecuteCentral,AlertExecutePeer,AlertExecuteCloud,CriticalExecuteCentral,CriticalExecutePeer,CriticalExecuteCloud
10,60,1,S1,0.959019384,0.009496592,0.031484024,0.569606426,0.308392059,0.122001515,0.488778228,0.45249403,0.058727742,0.970968028,0.016547917,0.012484055,0.597474284,0.388120711,0.014405005,0.455356333,0.012895753,0.531747914,0.48250681,0.461469714,0.056023476,0.944163405,0.024323892,0.031512703
,,,S2=S9,0.949992778,0.024557914,0.025449308,0.569606426,0.308392059,0.122001515,0.488778228,0.45249403,0.058727742,0.970968028,0.016547917,0.012484055,0.597474284,0.388120711,0.014405005,0.424792852,0.407668134,0.167539014,0.351245512,0.507676586,0.141077901,0.944163405,0.024323892,0.031512703
,,,S3,0.959019384,0.009496592,0.031484024,0.79734739,0.161703124,0.040949486,0.743539103,0.184420817,0.07204008,0.092479758,0.892273743,0.015246498,0.976780596,0.01034308,0.012876324,0.046723665,0.919969842,0.033306492,0.409445305,0.193819849,0.396734846,0.296049708,0.439615687,0.264334605
,,,S4,0.949992778,0.024557914,0.025449308,0.569606426,0.308392059,0.122001515,0.488778228,0.45249403,0.058727742,0.970968028,0.016547917,0.012484055,0.597474284,0.388120711,0.014405005,0.455356333,0.012895753,0.531747914,0.48250681,0.461469714,0.056023476,0.944163405,0.024323892,0.031512703
,,,S5,0.949992778,0.024557914,0.025449308,0.569606426,0.308392059,0.122001515,0.992518593,0.004878781,0.002602626,0.571504766,0.077269406,0.351225827,0.976780596,0.01034308,0.012876324,0.046723665,0.919969842,0.033306492,0.48250681,0.461469714,0.056023476,0.380740174,0.168620705,0.450639121
,,,S6,0.959019384,0.009496592,0.031484024,0.569606426,0.308392059,0.122001515,0.488778228,0.45249403,0.058727742,0.970968028,0.016547917,0.012484055,0.597474284,0.388120711,0.014405005,0.046723665,0.919969842,0.033306492,0.409445305,0.193819849,0.396734846,0.296049708,0.439615687,0.264334605
,,,S7,0.959019384,0.009496592,0.031484024,0.79734739,0.161703124,0.040949486,0.743539103,0.184420817,0.07204008,0.092479758,0.892273743,0.015246498,0.976780596,0.01034308,0.012876324,0.046723665,0.919969842,0.033306492,0.48250681,0.461469714,0.056023476,0.380740174,0.168620705,0.450639121
,,,S8,0.959019384,0.009496592,0.031484024,0.79734739,0.161703124,0.040949486,0.488778228,0.45249403,0.058727742,0.970968028,0.016547917,0.012484055,0.597474284,0.388120711,0.014405005,0.424792852,0.407668134,0.167539014,0.351245512,0.507676586,0.141077901,0.944163405,0.024323892,0.031512703
,,,S9=S2,0.949992778,0.024557914,0.025449308,0.569606426,0.308392059,0.122001515,0.488778228,0.45249403,0.058727742,0.970968028,0.016547917,0.012484055,0.597474284,0.388120711,0.014405005,0.424792852,0.407668134,0.167539014,0.351245512,0.507676586,0.141077901,0.944163405,0.024323892,0.031512703
,,,S10,0.959019384,0.009496592,0.031484024,0.79734739,0.161703124,0.040949486,0.743539103,0.184420817,0.07204008,0.092479758,0.892273743,0.015246498,0.976780596,0.01034308,0.012876324,0.771813061,0.06789006,0.16029688,0.525790619,0.21755072,0.256658662,0.296049708,0.439615687,0.264334605
30,60,1,S1,0.990327945,0.00629108,0.003380974,0.101675527,0.38830842,0.510016053,0.964250104,0.021856772,0.013893124,0.198334732,0.591618431,0.210046837,0.597779425,0.340150096,0.062070479,0.729774843,0.219398031,0.050827126,0.954622274,0.005189863,0.040187863,0.269233294,0.236565915,0.494200791
,,,S2,0.926100299,0.039850893,0.034048807,0.725852166,0.086462102,0.187685732,0.901858631,0.074855109,0.02328626,0.287788343,0.208484954,0.503726704,0.04260433,0.716934393,0.240461277,0.03036578,0.764190662,0.205443558,0.952400967,0.006355537,0.041243497,0.0932656,0.871938619,0.034795781
,,,S3,0.898562607,0.09207015,0.009367243,0.226220677,0.045087314,0.728692009,0.741769478,0.149132245,0.109098277,0.873286486,0.000614069,0.126099445,0.915528213,0.007752039,0.076719748,0.361373314,0.407610453,0.231016232,0.939374453,0.017236077,0.04338947,0.768058365,0.046521557,0.185420078
,,,S4,0.347493556,0.610293582,0.042212862,0.326718384,0.603405431,0.069876185,0.142279802,0.798707296,0.059012902,0.984984256,0.000862858,0.014152886,0.621551369,0.252421468,0.126027163,0.335019457,0.036374543,0.628606,0.861532787,0.018607584,0.119859629,0.890469862,0.099201942,0.010328196
,,,S5,0.430256694,0.53923467,0.030508636,0.406769659,0.333183906,0.260046435,0.871569107,0.073948605,0.054482288,0.56128755,0.060126915,0.378585535,0.713566181,0.044378937,0.242054882,0.727080221,0.1955025,0.07741728,0.496147856,0.432795017,0.071057127,0.981462605,0.003732344,0.014805051
,,,S6,0.464574474,0.436827967,0.098597558,0.31311868,0.362038118,0.324843202,0.491843444,0.493605643,0.014550913,0.891941234,0.024325493,0.083733273,0.628931056,0.096324365,0.27474458,0.891126678,0.107504306,0.001369016,0.991729506,0.002304281,0.005966213,0.866935279,0.057551455,0.075513265
,,,S7,0.858737392,0.008725954,0.132536654,0.409493281,0.45892167,0.131585048,0.743578969,0.249559168,0.006861863,0.545575821,0.405172464,0.049251714,0.900712475,0.064658803,0.034628722,0.962725838,0.024342763,0.012931398,0.52844366,0.316251869,0.155304471,0.971951768,0.014972427,0.013075805
,,,S8,0.901300773,0.08332306,0.015376167,0.700055243,0.181588387,0.11835637,0.015547743,0.719469156,0.264983101,0.014405328,0.844923157,0.140671514,0.352559658,0.545627443,0.101812899,0.845151325,0.072309271,0.082539404,0.784532948,0.172318224,0.043148828,0.135596212,0.558237139,0.306166648
,,,S9,0.430256694,0.53923467,0.030508636,0.406769659,0.333183906,0.260046435,0.871569107,0.073948605,0.054482288,0.514290413,0.108338121,0.377371466,0.735338983,0.121459994,0.143201023,0.851686668,0.087609583,0.060703749,0.570609381,0.321588501,0.107802118,0.645544053,0.287151681,0.067304266
,,,S10,0.962906966,0.009123044,0.02796999,0.151131845,0.745881497,0.102986658,0.954905803,0.015173429,0.029920768,0.236802099,0.134962859,0.628235042,0.838922313,0.095274506,0.065803181,0.428591128,0.195832448,0.375576424,0.663787754,0.231057446,0.1051548,0.953686797,0.025664506,0.020648696
60,60,1,S1,0.471198424,0.515824273,0.012977303,0.421838972,0.407738418,0.170422611,0.872504558,0.052512449,0.074982993,0.535545175,0.027470628,0.436984197,0.319095654,0.455981665,0.22492268,0.967331404,0.028466443,0.004202153,0.635072929,0.334937676,0.029989395,0.906405814,0.091777305,0.001816881
,,,S2,0.785324918,0.188522023,0.026153059,0.674248156,0.301683311,0.024068533,0.272906346,0.361160829,0.365932826,0.569898775,0.118319298,0.311781926,0.986282758,0.008562408,0.005154833,0.891383807,0.053613768,0.055002425,0.149197669,0.694260006,0.156542325,0.975553739,0.005986293,0.018459968
,,,S3,0.755495966,0.141934707,0.102569327,0.020700452,0.849313681,0.129985867,0.411460358,0.22986916,0.358670482,0.652104107,0.054143159,0.293752734,0.09935266,0.89819052,0.00245682,0.31627627,0.608227295,0.075496435,0.922501977,0.062450616,0.015047407,0.117475245,0.79447887,0.088045886
