population,evaluations,1/x,id,MonitorCentral,MonitorPeer,MonitorCloud,AnalyzeCentral,AnalyzePeer,AnalyzeCloud,NormalPlanCentral,NormalPlanPeer,NormalPlanCloud,AlertPlanCentral,AlertPlanPeer,AlertPlanCloud,CriticalPlanCentral,CriticalPlanPeer,CriticalPlanCloud,NormalExecuteCentral,NormalExecutePeer,NormalExecuteCloud,AlertExecuteCentral,AlertExecutePeer,AlertExecuteCloud,CriticalExecuteCentral,CriticalExecutePeer,CriticalExecuteCloud
10,60,4,S1=S2=S4,0.892235371,0.076047309,0.03171732,0.562562937,0.068905382,0.368531681,0.502920533,0.014833887,0.48224558,0.372520384,0.350521654,0.276957962,0.187996675,0.429870327,0.382132998,0.77004957,0.121696221,0.108254208,0.066670922,0.455878034,0.477451044,0.769213682,0.213951803,0.016834515
,,,S2=S1=S4,0.892235371,0.076047309,0.03171732,0.562562937,0.068905382,0.368531681,0.502920533,0.014833887,0.48224558,0.372520384,0.350521654,0.276957962,0.187996675,0.429870327,0.382132998,0.77004957,0.121696221,0.108254208,0.066670922,0.455878034,0.477451044,0.769213682,0.213951803,0.016834515
,,,S3=S5,0.590197897,0.364020757,0.045781346,0.757293234,0.160146758,0.082560008,0.686352372,0.267801371,0.045846258,0.372520384,0.350521654,0.276957962,0.187996675,0.429870327,0.382132998,0.77004957,0.121696221,0.108254208,0.066670922,0.455878034,0.477451044,0.042302594,0.131065477,0.82663193
,,,S4=S1=S2,0.892235371,0.076047309,0.03171732,0.562562937,0.068905382,0.368531681,0.502920533,0.014833887,0.48224558,0.372520384,0.350521654,0.276957962,0.187996675,0.429870327,0.382132998,0.77004957,0.121696221,0.108254208,0.066670922,0.455878034,0.477451044,0.769213682,0.213951803,0.016834515
,,,S5=S3,0.590197897,0.364020757,0.045781346,0.757293234,0.160146758,0.082560008,0.686352372,0.267801371,0.045846258,0.372520384,0.350521654,0.276957962,0.187996675,0.429870327,0.382132998,0.77004957,0.121696221,0.108254208,0.066670922,0.455878034,0.477451044,0.769213682,0.213951803,0.016834515
,,,S6,0.892235371,0.076047309,0.03171732,0.757293234,0.160146758,0.082560008,0.686352372,0.267801371,0.045846258,0.372520384,0.350521654,0.276957962,0.187996675,0.429870327,0.382132998,0.77004957,0.121696221,0.108254208,0.066670922,0.455878034,0.477451044,0.042302594,0.131065477,0.82663193
30,60,4,S1,0.596286323,0.283614124,0.120099552,0.615548951,0.071692726,0.312758322,0.657704387,0.288396817,0.053898795,0.67169349,0.169180216,0.159126294,0.250661238,0.203490348,0.545848414,0.166470071,0.445522277,0.388007652,0.154997106,0.017915669,0.827087226,0.796927371,0.167838319,0.03523431
,,,S2,0.959738167,0.02848042,0.011781413,0.165886122,0.792414022,0.041699856,0.440096118,0.312729758,0.247174124,0.439551469,0.297111481,0.26333705,0.302076565,0.331702503,0.366220932,0.092792687,0.88914562,0.018061693,0.338240824,0.045617218,0.616141958,0.248545812,0.696866961,0.054587227
,,,S3,0.968425967,0.028560969,0.003013064,0.230942793,0.204026429,0.565030778,0.512459366,0.445129859,0.042410775,0.097544225,0.766859055,0.13559672,0.136252105,0.23762226,0.626125635,0.111742209,0.799155221,0.089102569,0.646810022,0.18479932,0.168390658,0.961634582,0.023208831,0.015156587
,,,S4,0.602114722,0.299137776,0.098747502,0.199839405,0.330528897,0.469631698,0.626790551,0.043008753,0.330200697,0.387610044,0.411809004,0.200580952,0.331386216,0.618246155,0.050367628,0.893534942,0.048312996,0.058152062,0.227535309,0.145552432,0.626912259,0.506066475,0.005209412,0.488724113
