population,evaluations,1/x,id,MonitorCentral,MonitorPeer,MonitorCloud,AnalyzeCentral,AnalyzePeer,AnalyzeCloud,NormalPlanCentral,NormalPlanPeer,NormalPlanCloud,AlertPlanCentral,AlertPlanPeer,AlertPlanCloud,CriticalPlanCentral,CriticalPlanPeer,CriticalPlanCloud,NormalExecuteCentral,NormalExecutePeer,NormalExecuteCloud,AlertExecuteCentral,AlertExecutePeer,AlertExecuteCloud,CriticalExecuteCentral,CriticalExecutePeer,CriticalExecuteCloud,NormalActuate,AlertActuate,CriticalActuate,,
90,360,4,S1,0.255145367,0.704401796,0.040452837,0.551382964,0.006400644,0.442216392,0.894964683,0.070277167,0.03475815,0.125186724,0.52650728,0.348305996,0.104372429,0.374293157,0.521334414,0.48794559,0.107709284,0.404345126,0.058560486,0.29934493,0.642094584,0.357787632,0.582089671,0.060122696,2.86,5.49,8.137,,54
,,,S2,0.603332619,0.117273444,0.279393937,0.698980155,0.131782311,0.169237534,0.462298344,0.432157088,0.105544568,0.686219622,0.253644707,0.060135671,0.128929285,0.661905879,0.209164837,0.97136357,0.015659519,0.012976911,0.278272868,0.109561805,0.612165327,0.702000713,0.279410057,0.01858923,3.038,4.834,8.238,,52
,,,S3,0.629322045,0.227507804,0.143170151,0.826994302,0.160917707,0.012087991,0.168450799,0.741672026,0.089877175,0.816357081,0.146304367,0.037338552,0.756080984,0.0344288,0.209490216,0.622792282,0.344514165,0.032693553,0.074355517,0.172834892,0.75280959,0.829891376,0.052749266,0.117359358,2.678,4.527,8.484,,30
,,,S4,0.847175581,0.109491993,0.043332427,0.572554715,0.244231609,0.183213676,0.806312667,0.024131102,0.169556231,0.202963774,0.606891723,0.190144503,0.68241436,0.163927921,0.153657719,0.934463371,0.032269464,0.033267164,0.292004989,0.149976691,0.55801832,0.29444765,0.290534273,0.415018077,434.041,7005.603,5699.355,,15409
,,,S5,0.675470351,0.247934528,0.076595121,0.871595004,0.064082075,0.064322921,0.894964683,0.070277167,0.03475815,0.125186724,0.52650728,0.348305996,0.104372429,0.374293157,0.521334414,0.48794559,0.107709284,0.404345126,0.058560486,0.29934493,0.642094584,0.357787632,0.582089671,0.060122696,2.709,5.404,8.037,,19
,,,S6,0.139686994,0.638364912,0.221948094,0.599463253,0.248373944,0.152162803,0.300939487,0.504112957,0.194947557,0.669483445,0.234831,0.095685556,0.128929285,0.661905879,0.209164837,0.97136357,0.015659519,0.012976911,0.278272868,0.109561805,0.612165327,0.702000713,0.279410057,0.01858923,3.321,4.88,8.548,,49
,,,S7,0.947130801,0.001622897,0.051246303,0.792103242,0.15806378,0.049832978,0.198044278,0.530031622,0.2719241,0.184612039,0.51563099,0.299756971,0.677053297,0.237312792,0.085633912,0.145175906,0.267770973,0.587053121,0.061623756,0.42554015,0.512836094,0.982470742,0.005829477,0.011699781,3.521,4.942,7.791,,16
,,,S8,0.784969397,0.029396113,0.18563449,0.921086551,0.070864136,0.008049313,0.654383079,0.044364804,0.301252117,0.080126696,0.535580004,0.3842933,0.166031218,0.680562354,0.153406427,0.99289356,0.006538438,0.000568002,0.245326131,0.458192759,0.29648111,0.114477787,0.626831218,0.258690995,3.345,4.683,8.529,,90
,,,S9,0.675470351,0.247934528,0.076595121,0.871595004,0.064082075,0.064322921,0.894964683,0.070277167,0.03475815,0.669483445,0.234831,0.095685556,0.128929285,0.661905879,0.209164837,0.97136357,0.015659519,0.012976911,0.278272868,0.109561805,0.612165327,0.702000713,0.279410057,0.01858923,3.108,4.853,8.286,,175
,,,S10,0.784969397,0.029396113,0.18563449,0.921086551,0.070864136,0.008049313,0.654383079,0.044364804,0.301252117,0.080126696,0.535580004,0.3842933,0.166031218,0.680562354,0.153406427,0.145175906,0.267770973,0.587053121,0.061623756,0.42554015,0.512836094,0.982470742,0.005829477,0.011699781,3.165,5.325,7.744,,108
,,,S11,0.356948502,0.394433621,0.248617877,0.63498764,0.306131505,0.058880855,0.236998841,0.622999598,0.140001561,0.253793142,0.722990636,0.023216222,0.601298512,0.018907971,0.379793517,0.919320892,0.060627042,0.020052066,0.237833093,0.007875088,0.754291819,0.19650699,0.314542446,0.488950564,2.563,5.023,9.617,,65
,,,S12,0.675470351,0.247934528,0.076595121,0.871595004,0.064082075,0.064322921,0.273134264,0.201982715,0.52488302,0.985634793,0.003899699,0.010465508,0.844291923,0.131715009,0.023993067,0.548496132,0.384109944,0.067393923,0.119103584,0.614082157,0.266814259,0.385000772,0.050359376,0.564639852,3.486,4.723,8.371,,46
,,,S13,0.965117174,0.023777769,0.011105058,0.51930575,0.367965531,0.112728719,0.318885541,0.103045826,0.578068633,0.802112112,0.110461875,0.087426012,0.128929285,0.661905879,0.209164837,0.97136357,0.015659519,0.012976911,0.278272868,0.109561805,0.612165327,0.702000713,0.279410057,0.01858923,3.412,4.172,8.147,,69
,,,S14,0.964099228,0.006158132,0.029742639,0.18546853,0.662948412,0.151583059,0.315263328,0.436572349,0.248164322,0.469199251,0.120618851,0.410181899,0.654753598,0.233257815,0.111988587,0.017956493,0.158686107,0.823357399,0.152023547,0.471321023,0.37665543,0.931722256,0.019538512,0.048739232,3.486,5.194,7.931,,612
,,,S15,0.856722036,0.034901109,0.108376855,0.200176939,0.744879669,0.054943392,0.675794489,0.068819064,0.255386447,0.652054678,0.314155796,0.033789526,0.315815426,0.254133905,0.430050669,0.156281434,0.296306613,0.547411953,0.152023547,0.471321023,0.37665543,0.931722256,0.019538512,0.048739232,2.748,5.484,7.902,,109
120,360,4,S1,0.759227732,0.028404233,0.212368035,0.439789644,0.09996366,0.460246696,0.360795992,0.568820456,0.070383552,0.837911766,0.099827965,0.062260268,0.047561627,0.02489799,0.927540383,0.293201754,0.392534699,0.314263547,0.453605975,0.229045489,0.317348536,0.796652199,0.107644337,0.095703464,2.798,6.731,8.042,,70
,,,S2,0.933209059,0.053801681,0.01298926,0.075315992,0.736770908,0.187913101,0.347781366,0.134976912,0.517241722,0.112912991,0.871624106,0.015462903,0.415833675,0.14144895,0.442717375,0.518630223,0.441300925,0.040068852,0.072863754,0.75761551,0.169520736,0.612918739,0.113911504,0.273169756,3.273,4.489,7.795,,54
