population,evaluations,1/x,id,MonitorCentral,MonitorPeer,MonitorCloud,AnalyzeCentral,AnalyzePeer,AnalyzeCloud,NormalPlanCentral,NormalPlanPeer,NormalPlanCloud,AlertPlanCentral,AlertPlanPeer,AlertPlanCloud,CriticalPlanCentral,CriticalPlanPeer,CriticalPlanCloud,NormalExecuteCentral,NormalExecutePeer,NormalExecuteCloud,AlertExecuteCentral,AlertExecutePeer,AlertExecuteCloud,CriticalExecuteCentral,CriticalExecutePeer,CriticalExecuteCloud,,,,,,
10,120,5,S1,0.896424478,0.053059361,0.050516161,0.69275009,0.026051925,0.281197985,0.40478056,0.506302019,0.088917421,0.582527946,0.183606298,0.233865756,0.607533344,0.223272239,0.169194417,0.546654946,0.424330743,0.029014311,0.896281983,0.100579852,0.003138165,0.141860009,0.453152203,0.404987788,,sat,sat,sat,,inf
,,,S2,0.896424478,0.053059361,0.050516161,0.69275009,0.026051925,0.281197985,0.40478056,0.506302019,0.088917421,0.582527946,0.183606298,0.233865756,0.607533344,0.223272239,0.169194417,0.546654946,0.424330743,0.029014311,0.896281983,0.100579852,0.003138165,0.891649533,0.010311437,0.09803903,,sat,sat,sat,,inf
,,,S3,0.896424478,0.053059361,0.050516161,0.69275009,0.026051925,0.281197985,0.40478056,0.506302019,0.088917421,0.582527946,0.183606298,0.233865756,0.607533344,0.223272239,0.169194417,0.546654946,0.424330743,0.029014311,0.896281983,0.100579852,0.003138165,0.891649533,0.010311437,0.09803903,,sat,sat,sat,,inf
,,,S4,0.809317144,0.146441128,0.044241728,0.118256804,0.023776642,0.857966554,0.40478056,0.506302019,0.088917421,0.582527946,0.183606298,0.233865756,0.607533344,0.223272239,0.169194417,0.546654946,0.424330743,0.029014311,0.896281983,0.100579852,0.003138165,0.891649533,0.010311437,0.09803903,,sat,sat,sat,,inf
,,,S5,0.896424478,0.053059361,0.050516161,0.118256804,0.023776642,0.857966554,0.220247654,0.019271908,0.760480438,0.709847606,0.11035935,0.179793044,0.059849714,0.001276505,0.938873781,0.391356495,0.292478471,0.316165035,0.134531601,0.35913,0.506338399,0.891649533,0.010311437,0.09803903,,sat,sat,sat,,inf
,,,S6,0.809317144,0.146441128,0.044241728,0.118256804,0.023776642,0.857966554,0.220247654,0.019271908,0.760480438,0.709847606,0.11035935,0.179793044,0.059849714,0.001276505,0.938873781,0.391356495,0.292478471,0.316165035,0.134531601,0.35913,0.506338399,0.891649533,0.010311437,0.09803903,,sat,sat,sat,,inf
10,360,5,S1,0.451517057,0.36188721,0.186595733,0.725810972,0.179223406,0.094965622,0.965696177,0.024372409,0.009931414,0.128736514,0.075852968,0.795410519,0.506367708,0.310472917,0.183159376,0.093440021,0.202783121,0.703776858,0.578371848,0.061554837,0.360073315,0.956958929,0.033645296,0.009395775,,sat,sat,sat,,inf
,,,S2,0.451517057,0.36188721,0.186595733,0.473601479,0.200715851,0.32568267,0.965696177,0.024372409,0.009931414,0.128736514,0.075852968,0.795410519,0.395938323,0.320021641,0.284040036,0.956540849,0.028039043,0.015420107,0.723702717,0.054297423,0.22199986,0.472165026,0.319051521,0.208783453,,sat,sat,sat,,inf
,,,S3=S8,0.451517057,0.36188721,0.186595733,0.725810972,0.179223406,0.094965622,0.721469978,0.254146127,0.024383895,0.289605773,0.63554126,0.074852967,0.395938323,0.320021641,0.284040036,0.956540849,0.028039043,0.015420107,0.723702717,0.054297423,0.22199986,0.956958929,0.033645296,0.009395775,,sat,sat,sat,,inf
,,,S4,0.451517057,0.36188721,0.186595733,0.725810972,0.179223406,0.094965622,0.965696177,0.024372409,0.009931414,0.128736514,0.075852968,0.795410519,0.395938323,0.320021641,0.284040036,0.956540849,0.028039043,0.015420107,0.723702717,0.054297423,0.22199986,0.782716895,0.140889742,0.076393362,,sat,sat,sat,,inf
