population,evaluations,1/x,id,MonitorCentral,MonitorPeer,MonitorCloud,AnalyzeCentral,AnalyzePeer,AnalyzeCloud,NormalPlanCentral,NormalPlanPeer,NormalPlanCloud,AlertPlanCentral,AlertPlanPeer,AlertPlanCloud,CriticalPlanCentral,CriticalPlanPeer,CriticalPlanCloud,NormalExecuteCentral,NormalExecutePeer,NormalExecuteCloud,AlertExecuteCentral,AlertExecutePeer,AlertExecuteCloud,CriticalExecuteCentral,CriticalExecutePeer,CriticalExecuteCloud,,NormalActuate,AlertActuate,CriticalActuate,,
60,360,5,S1,0.530560987,0.440709012,0.028730001,0.451980903,0.094288815,0.453730282,0.31716677,0.31321608,0.369617151,0.056609304,0.365239423,0.578151273,0.035441655,0.37618314,0.588375205,0.007691546,0.364383323,0.62792513,0.776137746,0.153293964,0.07056829,0.223533921,0.744092637,0.032373442,,5.645,7.719,9.39,,289
,,,S2,0.81792586,0.016903851,0.165170289,0.740569208,0.24161482,0.017815971,0.114520893,0.807684108,0.077794999,0.946982185,0.006910213,0.046107603,0.084786224,0.012150753,0.903063023,0.762489888,0.198840576,0.038669536,0.625423038,0.164104904,0.210472059,0.935617387,0.010219823,0.05416279,,4.425,8.24,9.307,,222
,,,S3,0.530560987,0.440709012,0.028730001,0.451980903,0.094288815,0.453730282,0.31716677,0.31321608,0.369617151,0.056609304,0.365239423,0.578151273,0.071989738,0.520072486,0.407937776,0.136146987,0.717667745,0.146185269,0.601095981,0.068281167,0.330622852,0.15620547,0.722374552,0.121419978,,5.746,6.694,9.631,,51
,,,S4,0.709354606,0.156478145,0.134167249,0.451980903,0.094288815,0.453730282,0.31716677,0.31321608,0.369617151,0.056609304,0.365239423,0.578151273,0.035441655,0.37618314,0.588375205,0.007691546,0.364383323,0.62792513,0.776137746,0.153293964,0.07056829,0.223533921,0.744092637,0.032373442,,5.734,8.015,9.016,,28
,,,S5,0.530560987,0.440709012,0.028730001,0.557280775,0.08044402,0.362275204,0.439609466,0.36600646,0.194384074,0.82030448,0.000538868,0.179156652,0.071989738,0.520072486,0.407937776,0.136146987,0.717667745,0.146185269,0.601095981,0.068281167,0.330622852,0.15620547,0.722374552,0.121419978,,4.986,6.797,9.652,,744
,,,S6,0.834249237,0.051482536,0.114268227,0.172738038,0.688750667,0.138511296,0.114520893,0.807684108,0.077794999,0.946982185,0.006910213,0.046107603,0.084786224,0.012150753,0.903063023,0.762489888,0.198840576,0.038669536,0.625423038,0.164104904,0.210472059,0.935617387,0.010219823,0.05416279,,4.283,8.03,9.075,,80
,,,S7,0.709354606,0.156478145,0.134167249,0.557280775,0.08044402,0.362275204,0.439609466,0.36600646,0.194384074,0.82030448,0.000538868,0.179156652,0.164968744,0.556927278,0.278103978,0.657254502,0.162696586,0.180048912,0.215130778,0.106219523,0.678649699,0.379861437,0.619283106,0.000855457,,4.162,6.401,9.773,,68
,,,S8,0.820027229,0.099918856,0.080053915,0.747827157,0.172844037,0.079328805,0.41185134,0.241961273,0.346187387,0.282291211,0.213625507,0.504083282,0.424048471,0.139427116,0.436524413,0.692969083,0.036006108,0.271024808,0.163680544,0.662789802,0.173529654,0.519119341,0.151546421,0.329334238,,5.246,6.511,9.746,,20
,,,S9,0.81792586,0.016903851,0.165170289,0.740569208,0.24161482,0.017815971,0.114520893,0.807684108,0.077794999,0.946982185,0.006910213,0.046107603,0.704498243,0.112512417,0.18298934,0.365477336,0.569401302,0.065121362,0.056326049,0.064329854,0.879344097,0.567367606,0.347601085,0.085031308,,3.853,5.677,10.427,,55
,,,S10,0.259272928,0.722388024,0.018339047,0.229533772,0.351575016,0.418891212,0.514620676,0.155305143,0.330074181,0.198060702,0.189589162,0.612350136,0.164968744,0.556927278,0.278103978,0.657254502,0.162696586,0.180048912,0.215130778,0.106219523,0.678649699,0.379861437,0.619283106,0.000855457,,6.503,6.474,10.168,,800
,,,S11,0.820027229,0.099918856,0.080053915,0.225808198,0.643891464,0.130300337,0.443885024,0.199491608,0.356623368,0.47934655,0.305542194,0.215111257,0.271675788,0.252236438,0.476087774,0.694505779,0.096527002,0.20896722,0.111620475,0.788474415,0.099905111,0.759431815,0.12248219,0.118085996,,4.83,6.565,10.176,,128
,,,S12,0.168517924,0.709659778,0.121822297,0.740569208,0.24161482,0.017815971,0.114520893,0.807684108,0.077794999,0.946982185,0.006910213,0.046107603,0.084786224,0.012150753,0.903063023,0.762489888,0.198840576,0.038669536,0.625423038,0.164104904,0.210472059,0.107377937,0.687353605,0.205268458,,4.038,7.774,9.519,,101
,,,S13,0.168517924,0.709659778,0.121822297,0.042714107,0.841527548,0.115758345,0.002307961,0.379509922,0.618182117,0.259958859,0.129459932,0.610581208,0.993394731,0.00316928,0.003435989,0.037776359,0.939493908,0.022729733,0.012266494,0.442076821,0.545656685,0.664819211,0.210767187,0.124413603,,6.433,5.599,10.076,,404
90,360,5,S1,0.948462462,0.041734115,0.009803423,0.471999254,0.100670786,0.42732996,0.175133789,0.632464834,0.192401377,0.818284459,0.120242811,0.06147273,0.634919441,0.169125039,0.19595552,0.368702796,0.214773965,0.416523239,0.06208398,0.217337329,0.720578691,0.575515083,0.387240236,0.037244682,,4.052,6.444,10.556,,77
,,,S2,0.834928824,0.073971331,0.091099845,0.10285458,0.516326259,0.380819162,0.455680986,0.311650052,0.232668963,0.458331899,0.30607303,0.235595071,0.22726775,0.208315463,0.564416787,0.53064988,0.446078812,0.023271308,0.020884319,0.591375008,0.387740673,0.648789034,0.226103927,0.125107039,,4.546,6.699,9.987,,155
,,,S3,0.717953159,0.181145954,0.100900888,0.681443873,0.29383689,0.024719238,0.611830919,0.076221851,0.31194723,0.38375221,0.232653482,0.383594308,0.051555644,0.289715957,0.658728399,0.362535298,0.291677386,0.345787315,0.188788709,0.674497678,0.136713613,0.895836223,0.036730798,0.067432978,,4.596,7.369,8.718,,56
,,,S4,0.95504678,0.040150617,0.004802603,0.55148845,0.302728759,0.145782791,0.276245796,0.067866887,0.655887317,0.109447626,0.707764885,0.182787489,0.340099009,0.343645745,0.316255246,0.790029926,0.148200453,0.061769621,0.283388345,0.54769036,0.168921295,0.534682713,0.143454353,0.321862934,,5.505,6.018,9.559,,92
,,,S5,0.948462462,0.041734115,0.009803423,0.471999254,0.100670786,0.42732996,0.175133789,0.632464834,0.192401377,0.818284459,0.120242811,0.06147273,0.634919441,0.169125039,0.19595552,0.368702796,0.214773965,0.416523239,0.06208398,0.217337329,0.720578691,0.575515083,0.387240236,0.037244682,,4.204,6.292,10.082,,34
,,,S6,0.640188733,0.055569327,0.30424194,0.30677596,0.010824362,0.682399678,0.105806672,0.02536664,0.868826688,0.527698254,0.464182218,0.008119528,0.670862942,0.308220304,0.020916754,0.848250211,0.042360427,0.109389361,0.255813417,0.646319868,0.097866715,0.575515083,0.387240236,0.037244682,,5.962,6.643,10.375,,87
,,,S7,0.965151143,0.018362048,0.016486809,0.926574741,0.062637965,0.010787294,0.174998758,0.418533433,0.406467809,0.205002473,0.465875173,0.329122354,0.65042443,0.18220054,0.16737503,0.773681607,0.070259013,0.15605938,0.020884319,0.591375008,0.387740673,0.289393937,0.004753874,0.705852189,,5.837,5.534,11.012,,184
,,,S8,0.925500533,0.052220491,0.022278976,0.10285458,0.516326259,0.380819162,0.455680986,0.311650052,0.232668963,0.458331899,0.30607303,0.235595071,0.22726775,0.208315463,0.564416787,0.53064988,0.446078812,0.023271308,0.335867104,0.366519686,0.297613209,0.343484728,0.262631125,0.393884147,,4.576,6.698,9.987,,65
,,,S9,0.974889051,0.023708605,0.001402344,0.534100845,0.154050763,0.311848392,0.013323304,0.111440337,0.875236359,0.863242525,0.09145669,0.045300785,0.599557473,0.328085498,0.072357029,0.595418499,0.302544683,0.102036818,0.398929951,0.431800486,0.169269563,0.848643516,0.062787503,0.088568981,,6.264,6.201,9.414,,97
120,360,5,S1,0.793835421,0.126656395,0.079508183,0.186723216,0.097415837,0.715860947,0.541752187,0.140061497,0.318186316,0.787469218,0.193409616,0.019121167,0.023498173,0.102556241,0.873945586,0.533991766,0.100359872,0.365648362,0.132904649,0.80914938,0.057945971,0.820441589,0.151463775,0.028094636,,4.129,9.18,8.741,,959
,,,S2,0.287081201,0.442699656,0.270219143,0.345982686,0.567627209,0.086390105,0.601524236,0.051913353,0.346562412,0.610820989,0.192961641,0.19621737,0.119283086,0.838830521,0.041886394,0.767868918,0.026810685,0.205320397,0.010516629,0.286917423,0.702565948,0.531701602,0.451220803,0.017077595,,5.049,7.309,10.734,,736
,,,S3,0.659735631,0.139948455,0.200315913,0.485143548,0.44243949,0.072416962,0.118759034,0.256229225,0.625011741,0.474996106,0.483859892,0.041144001,0.619096124,0.253375071,0.127528805,0.964606579,0.025984683,0.009408738,0.170191632,0.575748295,0.254060073,0.570112496,0.050995364,0.37889214,,4.997,5.706,9.709,,24
,,,S4,0.659735631,0.139948455,0.200315913,0.485143548,0.44243949,0.072416962,0.118759034,0.256229225,0.625011741,0.474996106,0.483859892,0.041144001,0.619096124,0.253375071,0.127528805,0.964606579,0.025984683,0.009408738,0.170191632,0.575748295,0.254060073,0.250364011,0.670545344,0.079090645,,5.56,6.065,10.561,,596
,,,S5,0.64592314,0.299671806,0.054405054,0.729486574,0.244460676,0.02605275,0.157254145,0.585607347,0.257138507,0.885799909,0.060743183,0.053456908,0.287812045,0.127391416,0.58479654,0.884547143,0.006832348,0.108620508,0.551923089,0.146802746,0.301274164,0.249208422,0.353984929,0.396806649,,4.603,7.535,10.421,,282
,,,S6,0.073427707,0.699928606,0.226643687,0.733958895,0.002134628,0.263906477,0.390665109,0.525356151,0.08397874,0.387712723,0.416140027,0.19614725,0.005840352,0.42129848,0.572861168,0.195192623,0.356986675,0.447820702,0.493611271,0.033881118,0.47250761,0.300933648,0.458430722,0.24063563,,4.472,7.557,10.213,,98
,,,S7,0.659735631,0.139948455,0.200315913,0.485143548,0.44243949,0.072416962,0.118759034,0.256229225,0.625011741,0.474996106,0.483859892,0.041144001,0.619096124,0.253375071,0.127528805,0.964606579,0.025984683,0.009408738,0.170191632,0.575748295,0.254060073,0.250364011,0.670545344,0.079090645,,5.388,5.495,10.248,,103
,,,S8,0.1788403,0.722533166,0.098626535,0.983643791,0.003509358,0.012846851,0.508859169,0.25099793,0.240142901,0.231828027,0.632836351,0.135335622,0.259864948,0.530896285,0.209238767,0.694862154,0.150089811,0.155048035,0.291298865,0.233126827,0.475574308,0.532789532,0.337686026,0.129524443,,4.86,6.742,9.956,,177
,,,S9,0.793835421,0.126656395,0.079508183,0.186723216,0.097415837,0.715860947,0.300723461,0.186532262,0.512744277,0.810982156,0.087487623,0.101530221,0.057053038,0.541948246,0.400998716,0.698367775,0.038986302,0.262645923,0.69257463,0.154153173,0.153272197,0.823070794,0.009988454,0.166940752,,5.206,7.306,9.317,,163
,,,S10,0.385817476,0.526918282,0.087264243,0.036502293,0.877819519,0.085678189,0.508859169,0.25099793,0.240142901,0.231828027,0.632836351,0.135335622,0.259864948,0.530896285,0.209238767,0.694862154,0.150089811,0.155048035,0.291298865,0.233126827,0.475574308,0.532789532,0.337686026,0.129524443,,4.814,6.598,9.902,,98
,,,S11,0.483138444,0.250000267,0.266861289,0.488005111,0.070450329,0.44154456,0.480556234,0.483047116,0.03639665,0.078985848,0.328293811,0.592720341,0.065901702,0.252590652,0.681507646,0.317570112,0.306575426,0.375854462,0.54176355,0.264472491,0.193763959,0.120876743,0.861160825,0.017962432,,5.1,7.536,9.692,,93
,,,S12,0.891658943,0.081074872,0.027266185,0.050331697,0.11090945,0.838758853,0.047656289,0.283975836,0.668367875,0.623908918,0.051988695,0.324102387,0.432382951,0.544330445,0.023286604,0.912035532,0.052673266,0.035291202,0.194226479,0.269997103,0.535776417,0.143687072,0.694266557,0.162046371,,6.621,5.506,11.244,,196
180,360,5,S1,0.868636804,0.002915583,0.128447612,0.152503162,0.646062612,0.201434226,0.545537515,0.254487872,0.199974613,0.810490312,0.117375088,0.0721346,0.02858096,0.564741721,0.40667732,0.897555285,0.073913556,0.028531159,0.127287881,0.47268016,0.400031959,0.343074135,0.499787311,0.157138554,,4.038,7.294,11.67,,1476
,,,S2,0.662416316,0.276983474,0.06060021,0.799294097,0.082708207,0.117997696,0.381089499,0.192995887,0.425914614,0.785052196,0.131155015,0.083792789,0.061290286,0.740824139,0.197885574,0.544637695,0.111556155,0.34380615,0.49522521,0.137466474,0.367308316,0.127244608,0.240293403,0.632461989,,4.638,7.085,10.341,,125
,,,S3,0.182646429,0.61626705,0.201086521,0.172276166,0.480666132,0.347057701,0.681638301,0.259100619,0.05926108,0.581172993,0.141752881,0.277074125,0.077215348,0.418123625,0.504661027,0.606598273,0.092304578,0.301097148,0.12565808,0.202729797,0.671612123,0.961627598,0.038278827,9.36E-05,,4.585,7.399,10.436,,147
,,,S4,0.028378545,0.800288389,0.171333066,0.98065507,0.018817602,0.000527328,0.103315571,0.153725533,0.742958896,0.044798764,0.618111739,0.337089497,0.039316207,0.850379684,0.110304108,0.627485628,0.130558854,0.241955518,0.983343612,0.001666378,0.01499001,0.168229108,0.272084836,0.559686055,,4.949,6.631,10.74,,92
,,,S5,0.983632111,0.016324158,4.37E-05,0.612294323,0.321205231,0.066500446,0.075491207,0.366596271,0.557912522,0.296389694,0.623558375,0.080051931,0.154549027,0.308798198,0.536652776,0.698547345,0.284739249,0.016713406,0.388457982,0.421608102,0.189933917,0.667385922,0.290244851,0.042369227,,6.657,7.383,9.228,,100
,,,S6,0.71323618,0.177994175,0.108769645,0.2296188,0.094543575,0.675837625,0.018495552,0.130750817,0.850753631,0.57477531,0.403303697,0.021920993,0.06688286,0.739710284,0.193406857,0.394662082,0.539078876,0.066259042,0.826191925,0.026340418,0.147467657,0.421995888,0.403728533,0.174275579,,6.767,6.963,9.609,,107
,,,S7,0.229649338,0.703936507,0.066414154,0.070215632,0.171453289,0.758331078,0.238942599,0.707561405,0.053495996,0.17565432,0.662939542,0.161406138,0.614094407,0.214845582,0.171060011,0.46418489,0.327926526,0.207888584,0.264141537,0.124145011,0.611713453,0.796896904,0.197128871,0.005974225,,4.559,7.213,10.886,,111
,,,S8,0.842499044,0.07592485,0.081576105,0.316473384,0.559662299,0.123864317,0.45576716,0.089008048,0.455224791,0.68564363,0.127829525,0.186526844,0.573966249,0.063130236,0.362903515,0.503876284,0.322001439,0.174122276,0.076741194,0.609106486,0.314152319,0.462734329,0.234482909,0.302782762,,5.725,7.027,10.276,,948
,,,S9,0.798721232,0.156939766,0.044339002,0.956768515,0.005106085,0.0381254,0.691290066,0.297537769,0.011172164,0.590113476,0.013184557,0.396701968,0.088057737,0.009197664,0.902744599,0.291081554,0.578667428,0.130251018,0.112208273,0.512266546,0.37552518,0.808892394,0.063448837,0.12765877,,4.367,8.881,9.535,,98
,,,S10,0.919695711,0.062889923,0.017414366,0.541927372,0.198554426,0.259518202,0.530972739,0.260665951,0.20836131,0.224977722,0.077386383,0.697635895,0.054795856,0.500993589,0.444210555,0.05554032,0.621123425,0.323336254,0.346403598,0.215575726,0.438020676,0.409109142,0.420200481,0.170690377,,5.191,7.302,9.527,,40
,,,S11,0.152509645,0.658924396,0.188565958,0.926702143,0.015701353,0.057596504,0.251060805,0.444970361,0.303968834,0.400099804,0.469013772,0.130886424,0.243747523,0.086760329,0.669492148,0.03959211,0.748515601,0.211892289,0.379365664,0.436524758,0.184109578,0.985095991,0.009628481,0.005275528,,5.078,7.646,9.571,,52
,,,S12,0.972653516,0.010464815,0.016881669,0.767483299,0.20578623,0.026730471,0.207747225,0.381882009,0.410370766,0.117379267,0.25533057,0.627290162,0.004325924,0.719243489,0.276430587,0.826316442,0.137755685,0.035927873,0.828690343,0.07267805,0.098631607,0.926219698,0.033478392,0.040301909,,6.733,8.435,9.092,,143
,,,S13,0.560022236,0.344580399,0.095397364,0.2296188,0.094543575,0.675837625,0.018495552,0.130750817,0.850753631,0.57477531,0.403303697,0.021920993,0.06688286,0.739710284,0.193406857,0.394662082,0.539078876,0.066259042,0.826191925,0.026340418,0.147467657,0.421995888,0.403728533,0.174275579,,6.871,6.524,9.956,,63
,,,S14,0.71363051,0.265376643,0.020992846,0.005357209,0.402881439,0.591761352,0.001069292,0.367015457,0.631915251,0.03557694,0.352446137,0.611976923,0.440776438,0.504594194,0.054629367,0.749350232,0.134305077,0.116344691,0.361839226,0.217283299,0.420877475,0.236508684,0.28931967,0.474171647,,6.72,5.936,10.612,,100
