NormalActuate,AlertActuate,CriticalActuate
1.292,3.313,5.411
1.265,3.21,5.271
1.008,2.389,5.485
0.708,2.614,5.635
0.987,2.394,5.664
1.236,3.262,5.305
1.013,2.329,5.482
0.771,2.619,5.522
0.954,2.619,5.578
1.127,2.782,6.211
1.095,2.34,5.808
1.061,2.738,6.777
1.042,3.059,5.46
1.131,2.424,5.864
0.824,2.863,5.66
1.078,2.703,5.966
1.377,2.935,5.456
0.777,2.722,6.365
1.254,2.554,5.599
1.589,2.463,5.831
1.024,2.688,5.94
1.006,3.61,5.43
1.019,2.971,5.856
1.063,2.575,5.775
1.126,3.295,5.39
2.021,2.357,5.638
0.991,3.018,5.809
0.855,2.287,6.521
1.247,2.592,5.679
0.852,2.355,6.508
1.176,2.286,6.516
1.316,2.617,5.5
0.857,2.361,5.862
0.846,2.298,5.609
1.351,2.673,5.661
0.845,2.31,5.612
1.28,2.636,5.616
0.83,2.673,6.482
1.801,2.274,5.82
1.412,2.518,5.718
1.533,2.143,6.57
1.001,3.057,5.432
1.271,2.363,6.058
0.877,2.432,6.743
1.771,2.284,5.869
1.208,2.183,6.473
0.951,2.714,5.48
1.55,3.038,5.393
1.209,2.492,5.426
0.805,3.074,6.223
1.699,2.561,5.733
1.619,2.417,5.715
0.939,3.024,5.398
1.628,2.226,6.404
1.032,2.448,6.037
0.9,2.438,5.77
1.644,2.457,5.667
1.192,2.18,6.313
1.596,3.129,5.4
0.968,2.754,5.551
1.096,2.394,6.679
1.021,2.762,5.421
1.265,2.532,5.517
1.331,2.489,6.172
1.272,2.916,5.574
0.979,2.813,5.361
1.814,2.291,6.035
0.877,2.702,6.017
0.729,3.498,6.213
1.256,2.731,5.586
0.995,2.731,5.573
1.833,2.408,5.967
0.791,2.291,6.343
1.094,2.661,5.68
1.086,2.383,6.158
0.784,3.405,6.207
1.113,2.534,5.79
1.134,2.623,5.824
1.559,2.25,6.129
1.248,2.702,5.399
1.105,2.389,5.826
0.938,2.346,6.163
0.788,2.402,5.67
0.995,2.767,5.706
1.851,2.383,5.514
0.95,3.052,5.958
1.559,2.565,5.688
0.688,3.121,5.39
1.277,2.429,5.911
1.416,2.836,5.452
1.077,2.567,5.809
1.775,2.584,5.895
1.35,3.01,6.805
2.336,3.136,6.672
1.675,3.221,6.318
1.512,3.131,6.677
2.364,3.146,6.237
1.593,3.128,6.235
2.255,3.076,6.158
1.483,3.049,6.283
2.249,2.923,6.246
2.411,3.22,6.544
0.787,2.536,6.027
2.152,2.609,5.587
1.489,2.285,6.021
1.333,2.564,6.044
1.326,2.435,5.899
0.787,3.177,5.639
2.176,2.533,5.52
1.0,2.714,5.519
1.445,2.267,6.021
1.397,2.556,5.882
0.779,3.244,5.656
0.98,2.694,5.624
1.344,2.532,5.924
1.296,2.566,5.757
0.784,3.014,5.464
1.162,2.541,5.986
1.068,2.709,5.554
1.943,2.442,5.612
0.937,2.601,5.477
2.165,2.623,5.575
1.554,2.519,5.554
1.209,2.371,5.958
0.795,3.221,5.661
0.773,2.539,6.091
1.159,2.491,5.653
1.067,3.149,5.547
0.891,2.61,6.31
0.888,2.501,6.041
1.105,2.923,5.5
1.218,2.506,5.745
0.873,2.628,6.408
0.96,2.222,5.563
1.026,3.036,5.676
1.206,2.839,5.539
0.743,2.602,6.185
1.034,2.49,5.648
1.154,3.027,5.625
0.877,2.618,6.294
0.991,2.529,6.173
1.586,2.802,5.437
1.835,2.684,5.427
1.213,2.423,5.5
0.716,2.423,5.831
1.55,2.967,5.595
0.971,2.423,6.308
1.092,2.49,5.766
0.998,2.514,5.676
0.861,2.492,5.846
0.712,2.659,5.501
1.894,2.349,5.333
1.217,2.261,6.445
0.864,2.496,5.853
1.105,2.656,5.627
0.895,2.354,5.608
1.249,2.695,5.552
0.874,2.528,5.516
1.478,2.526,5.525
1.234,2.575,5.556
2.092,2.522,5.524
1.541,2.799,5.405
1.397,2.277,5.496
0.987,3.095,5.402
0.909,2.714,5.846
1.389,2.404,6.29
0.822,2.949,5.696
0.863,2.835,5.897
1.458,2.5,5.612
0.74,3.243,6.039
0.936,3.583,5.497
2.254,3.246,6.777
2.089,3.206,6.758
1.544,3.21,6.164
1.518,3.118,6.579
1.754,3.351,6.49
1.571,3.183,6.248
2.037,3.166,6.331
1.952,3.167,6.854
2.095,3.153,6.322
1.562,3.21,6.743
1.4,3.027,5.59
1.499,3.108,5.594
0.779,2.462,5.974
1.165,3.175,5.798
1.449,3.104,5.566
1.673,2.258,6.014
0.837,2.481,6.123
1.135,3.126,5.634
0.892,2.533,6.201
1.475,3.078,5.607
1.033,2.613,5.347
0.812,2.607,5.45
2.225,2.586,5.4
1.291,2.626,5.326
0.748,2.401,6.095
1.436,2.315,5.998
1.36,2.257,5.994
2.155,2.39,5.449
1.691,2.241,5.916
1.04,2.637,5.429
1.53,2.577,5.399
2.216,2.424,5.5
0.709,2.574,5.385
0.737,2.408,5.357
0.819,3.237,5.732
1.183,3.18,6.182
1.57,2.89,6.925
0.825,3.32,5.69
0.973,2.772,5.729
1.196,3.235,6.458
0.805,2.216,6.647
0.956,2.66,5.739
1.656,3.225,5.844
1.352,3.773,6.212
0.983,2.762,5.69
1.133,2.64,5.687
1.196,3.196,6.495
0.781,2.516,6.126
1.081,2.921,5.467
1.043,2.66,5.473
1.116,3.404,5.514
1.556,3.445,6.18
0.698,2.796,6.091
0.857,2.275,6.679
0.996,2.737,5.667
0.8,3.254,5.654
0.826,3.351,5.791
1.031,2.771,5.666
0.81,2.255,6.578
1.033,2.764,5.751
0.928,2.965,5.51
1.056,2.645,5.445
0.697,2.708,6.219
0.961,2.641,5.654
0.801,3.335,5.535
1.042,3.286,5.371
1.51,3.132,5.452
0.873,2.442,6.028
0.915,3.0,5.316
1.323,2.719,5.351
0.992,2.822,5.493
1.651,2.402,5.579
0.839,2.41,5.928
1.623,2.266,5.602
0.786,2.827,6.54
1.523,2.641,5.394
1.525,2.283,6.41
0.946,2.295,5.808
1.167,2.621,5.522
0.77,2.947,5.389
1.126,2.746,5.336
1.202,2.461,5.711
1.004,2.862,5.401
1.58,2.314,5.766
1.625,2.304,5.8
0.812,2.352,5.975
0.807,2.541,5.456
1.427,2.291,6.468
0.987,2.794,5.544
1.672,2.393,5.745
1.233,2.327,5.467
0.981,2.518,5.618
1.041,2.478,5.897
1.334,2.437,5.904
1.169,2.267,5.76
1.166,2.436,5.5
0.782,3.264,5.855
1.191,2.535,5.668
1.041,2.526,5.532
1.701,2.375,5.427
0.714,2.839,6.263
1.118,2.436,5.754
1.344,2.381,6.027
1.385,2.68,5.516
0.823,2.648,5.786
1.215,2.332,5.999
0.982,2.527,5.411
0.885,2.88,5.617
1.011,2.362,6.236
0.781,2.548,6.019
1.808,3.181,5.342
0.847,2.928,5.551
0.735,3.157,5.827
1.022,2.59,5.564
1.099,2.48,6.111
0.905,2.874,5.95
1.761,2.378,5.532
0.905,3.06,5.759
1.445,2.481,5.667
1.273,2.413,5.823
1.074,2.897,5.388
1.887,2.78,5.344
0.846,2.682,5.869
0.877,2.548,5.743
1.159,2.706,5.585
1.263,2.884,5.292
1.775,2.436,5.487
0.949,2.945,5.625
1.435,2.456,5.623
1.094,2.416,6.356
1.157,2.754,5.709
1.121,2.639,5.666
1.404,2.488,5.422
1.015,2.75,5.393
1.256,2.777,5.434
1.236,2.295,5.975
1.507,2.54,5.504
1.087,2.902,5.761
1.306,2.485,5.615
1.08,2.316,5.978
0.855,3.166,5.535
0.949,2.456,5.581
0.824,2.279,6.114
1.236,2.541,5.938
1.184,3.691,5.385
0.866,2.612,5.568
0.942,2.691,5.583
1.174,2.214,5.996
1.359,2.513,5.457
0.808,2.51,5.897
0.775,2.645,5.599
0.908,2.932,5.635
1.67,2.427,5.654
0.978,3.311,5.47
0.997,2.499,6.182
1.446,2.446,5.831
0.785,2.817,6.877
