NormalActuate,AlertActuate,CriticalActuate
3.387,4.507,7.625
3.52,4.693,7.864
2.848,4.704,9.135
3.244,4.43,7.567
2.74,4.666,7.822
2.543,4.515,8.815
2.609,5.911,8.992
3.103,4.509,8.071
3.195,5.362,7.811
3.349,4.459,8.839
4.242,4.494,8.739
2.807,5.604,7.847
3.118,5.023,8.02
3.476,5.237,7.75
3.601,5.638,7.707
4.134,5.623,8.067
2.961,4.469,7.979
3.508,4.433,8.694
3.583,4.727,7.875
3.699,4.983,7.845
3.588,5.092,7.59
3.47,4.569,7.275
3.359,4.867,7.296
2.624,5.388,8.29
3.887,5.786,8.733
4.093,4.557,8.06
4.417,6.965,9.133
3.504,5.346,8.492
4.061,4.505,8.086
4.123,4.94,8.475
3.596,4.964,8.353
3.829,4.973,7.656
3.168,4.973,9.163
2.983,4.953,8.641
3.392,4.648,9.926
2.972,5.881,7.835
3.824,4.786,7.972
3.434,4.85,10.0
3.251,6.029,7.705
3.517,5.029,7.684
3.065,4.797,8.225
2.389,6.155,8.725
2.272,5.999,8.866
4.421,6.874,9.21
3.171,4.744,8.53
2.48,4.869,7.647
2.198,4.842,7.886
2.62,5.054,7.782
2.234,4.857,7.932
4.354,6.691,8.973
2.236,4.922,7.29
2.158,4.85,7.929
2.231,4.997,8.022
3.497,5.306,8.885
3.156,5.146,7.632
3.929,5.337,9.02
3.215,3.975,8.273
3.119,5.316,8.063
3.292,5.442,7.541
3.464,4.286,8.099
3.872,4.135,8.07
3.062,5.221,10.561
3.247,5.315,7.633
3.197,5.324,7.793
3.087,4.241,7.958
3.109,5.017,10.043
3.692,5.284,8.776
3.485,4.988,7.794
4.055,4.546,7.94
3.112,4.841,8.001
3.255,5.422,7.755
3.092,4.303,7.983
3.389,5.502,7.809
3.192,5.092,9.148
3.146,4.867,8.749
2.271,5.187,9.448
3.669,5.958,7.265
3.258,5.25,7.949
2.464,4.902,9.409
3.244,4.59,8.401
3.27,5.324,7.603
4.418,4.697,8.218
2.861,4.85,8.227
3.415,5.504,8.243
3.156,5.205,8.746
4.107,4.656,7.982
3.729,5.606,8.326
2.738,4.836,8.523
4.027,4.623,9.612
3.165,5.157,8.054
3.405,5.221,8.173
4.401,4.381,7.722
4.019,5.014,8.039
2.739,4.739,8.663
3.567,5.386,8.263
3.327,5.372,8.081
3.975,6.3,7.511
2.816,5.473,7.967
3.76,5.409,7.148
3.348,4.749,8.105
3.906,5.549,7.738
3.074,4.802,7.937
4.902,5.1,7.785
3.79,5.77,7.988
2.424,4.721,8.433
2.771,6.35,7.778
3.374,5.843,7.831
2.891,5.075,7.564
2.987,5.149,7.395
2.975,4.854,7.526
6.858,8.661,10.025
2.798,4.645,7.367
3.023,4.723,7.357
2.833,4.804,7.525
3.027,4.853,7.702
3.061,5.085,7.738
3.014,5.111,7.563
2.56,4.422,8.383
3.488,5.766,7.942
3.054,4.782,8.646
3.473,5.901,8.025
2.938,6.028,8.503
3.231,4.942,8.912
2.528,5.046,8.361
2.493,4.184,8.741
2.526,4.302,8.355
3.074,5.234,7.767
2.155,5.896,8.935
2.665,5.066,8.386
2.814,4.57,7.929
2.489,4.198,8.183
2.854,5.209,7.435
3.364,5.796,8.151
2.498,4.419,8.412
3.047,5.419,7.653
2.782,5.044,7.199
2.155,5.985,9.102
2.987,5.512,7.679
2.446,4.534,8.398
2.538,4.297,8.322
2.775,5.843,7.259
2.35,4.31,8.229
2.41,4.408,8.341
2.141,5.735,7.592
2.198,5.734,7.25
3.935,5.226,7.684
2.669,4.62,8.844
2.001,5.678,7.419
3.47,3.811,8.086
3.172,5.958,7.949
2.167,5.618,7.48
3.583,4.407,7.914
2.16,5.533,7.407
2.796,4.484,8.679
2.731,4.354,8.207
2.048,5.563,7.279
3.168,4.268,7.795
2.963,4.241,7.696
3.43,4.097,8.446
2.698,4.544,7.738
2.072,5.722,7.594
3.296,4.239,8.108
2.723,4.763,8.65
2.961,4.357,7.762
3.567,4.034,7.993
2.766,5.11,7.511
2.753,5.359,8.028
3.093,4.842,8.195
2.665,4.385,8.361
1747.62,2909.135,7484.29
2.737,5.234,8.256
3.242,4.769,8.477
3.518,4.874,7.62
3.445,4.791,8.481
2.859,4.836,8.372
3.346,5.359,7.862
2.743,5.339,9.766
3.578,4.754,8.622
3.418,4.046,7.803
3.376,5.253,8.001
2.799,5.488,7.948
2.785,6.712,7.971
3.183,4.457,7.792
2.917,5.723,7.865
2.938,5.422,7.598
3.056,4.552,7.818
2.815,5.313,7.884
2.348,4.183,8.016
3.034,5.502,7.921
3.378,4.608,7.911
4.107,5.841,7.421
3.47,4.954,7.457
2.955,5.525,7.659
2.997,4.501,8.252
2.681,4.902,8.114
2.516,4.221,8.428
3.63,5.005,7.098
3.108,4.596,7.976
2.815,4.025,7.964
2.299,4.485,8.015
2.717,4.912,7.836
2.546,4.774,7.435
3.727,4.58,8.08
2.488,5.083,8.99
2.935,5.021,8.122
3.216,4.593,8.526
3.144,4.752,7.828
3.223,5.075,7.504
3.279,4.591,8.355
2.601,5.878,8.286
2.856,5.417,7.903
3.592,4.759,7.63
2.984,4.258,9.271
4.111,4.098,8.335
2.532,4.875,8.544
2.482,6.196,8.525
3.873,5.936,7.565
3.772,4.719,7.837
3.571,4.947,8.331
3.566,5.238,7.691
3.965,4.557,7.382
3.501,4.668,9.163
