NormalActuate,AlertActuate,CriticalActuate
5.645,7.719,9.39
4.425,8.24,9.307
5.746,6.694,9.631
5.734,8.015,9.016
4.986,6.797,9.652
4.283,8.03,9.075
4.162,6.401,9.773
5.246,6.511,9.746
3.853,5.677,10.427
6.503,6.474,10.168
4.83,6.565,10.176
4.038,7.774,9.519
6.433,5.599,10.076
4.052,6.444,10.556
4.546,6.699,9.987
4.596,7.369,8.718
5.505,6.018,9.559
4.204,6.292,10.082
5.962,6.643,10.375
5.837,5.534,11.012
4.576,6.698,9.987
6.264,6.201,9.414
4.129,9.18,8.741
5.049,7.309,10.734
4.997,5.706,9.709
5.56,6.065,10.561
4.603,7.535,10.421
4.472,7.557,10.213
5.388,5.495,10.248
4.86,6.742,9.956
5.206,7.306,9.317
4.814,6.598,9.902
5.1,7.536,9.692
6.621,5.506,11.244
4.038,7.294,11.67
4.638,7.085,10.341
4.585,7.399,10.436
4.949,6.631,10.74
6.657,7.383,9.228
6.767,6.963,9.609
4.559,7.213,10.886
5.725,7.027,10.276
4.367,8.881,9.535
5.191,7.302,9.527
5.078,7.646,9.571
6.733,8.435,9.092
6.871,6.524,9.956
6.72,5.936,10.612
6.204,5.482,10.535
5.406,7.296,9.26
4.173,6.178,9.515
3.996,8.537,10.705
